team1,team2,winner,winner_team_score,winner_team_wicket,opponent_team_score,opponent_team_wicket,winner_played_at,match_date,time_of_day,series,toss,toss_decision,ground_country
Pakistan,South Africa,Pakistan,335,6,153,6,away,"Dec 11, 2002",Day and night,Pakistan tour of South Africa,Pakistan,bat first,South Africa
England,Australia,Australia,252,3,251,3,home,"Dec 13, 2002",Day and night,VB Series,England,bat first,Australia
South Africa,Pakistan,South Africa,182,10,120,10,home,"Dec 13, 2002",Day and night,Pakistan tour of South Africa,South Africa,bat first,South Africa
Australia,England,Australia,318,6,229,6,home,"Dec 15, 2002",Day and night,VB Series,Australia,bat first,Australia
Kenya,Zimbabwe,Zimbabwe,136,1,133,1,home,"Dec 15, 2002",Day,Kenya tour of Zimbabwe,Kenya,bat first,Zimbabwe
Pakistan,South Africa,South Africa,214,1,213,1,home,"Dec 16, 2002",Day,Pakistan tour of South Africa,Pakistan,bat first,South Africa
England,Sri Lanka,England,292,10,249,10,away,"Dec 17, 2002",Day and night,VB Series,England,bat first,Australia
South Africa,Pakistan,South Africa,265,8,231,8,home,"Dec 18, 2002",Day and night,Pakistan tour of South Africa,South Africa,bat first,South Africa
England,Sri Lanka,England,258,9,163,9,away,"Dec 20, 2002",Day and night,VB Series,England,bat first,Australia
Australia,Sri Lanka,Australia,305,5,163,5,home,"Dec 22, 2002",Day and night,VB Series,Australia,bat first,Australia
India,New Zealand,New Zealand,109,7,108,7,home,"Dec 26, 2002",Day and night,India tour of New Zealand,New Zealand,field first,New Zealand
New Zealand,India,New Zealand,254,9,219,9,home,"Dec 29, 2002",Day,India tour of New Zealand,India,field first,New Zealand
India,New Zealand,New Zealand,109,5,108,5,home,"Jan 1, 2003",Day and night,India tour of New Zealand,India,bat first,New Zealand
India,New Zealand,New Zealand,123,3,122,3,home,"Jan 4, 2003",Day,India tour of New Zealand,New Zealand,field first,New Zealand
New Zealand,India,India,169,8,168,8,away,"Jan 8, 2003",Day and night,India tour of New Zealand,New Zealand,bat first,New Zealand
Sri Lanka,Australia,Sri Lanka,343,5,264,5,away,"Jan 9, 2003",Day and night,VB Series,Australia,field first,Australia
Australia,England,Australia,271,4,264,4,home,"Jan 11, 2003",Day,VB Series,Australia,bat first,Australia
New Zealand,India,India,200,9,199,9,away,"Jan 11, 2003",Day and night,India tour of New Zealand,India,field first,New Zealand
Sri Lanka,England,Sri Lanka,284,7,253,7,away,"Jan 13, 2003",Day and night,VB Series,Sri Lanka,bat first,Australia
India,New Zealand,New Zealand,125,4,122,4,home,"Jan 14, 2003",Day and night,India tour of New Zealand,New Zealand,field first,New Zealand
Sri Lanka,Australia,Australia,214,6,211,6,home,"Jan 15, 2003",Day and night,VB Series,Sri Lanka,bat first,Australia
England,Sri Lanka,England,279,7,260,7,away,"Jan 17, 2003",Day and night,VB Series,England,bat first,Australia
England,Australia,Australia,153,6,152,6,home,"Jan 19, 2003",Day and night,VB Series,England,bat first,Australia
Sri Lanka,Australia,Australia,215,1,214,1,home,"Jan 21, 2003",Day and night,VB Series,Sri Lanka,bat first,Australia
England,Australia,Australia,118,0,117,0,home,"Jan 23, 2003",Day and night,VB Series,England,bat first,Australia
Australia,England,Australia,229,7,224,7,home,"Jan 25, 2003",Day and night,VB Series,Australia,bat first,Australia
West Indies,South Africa,West Indies,278,5,275,5,away,"Feb 9, 2003",Day and night,ICC World Cup,West Indies,bat first,South Africa
Zimbabwe,Namibia,Zimbabwe,340,2,104,2,home,"Feb 10, 2003",Day,ICC World Cup,Namibia,field first,Zimbabwe
Sri Lanka,New Zealand,Sri Lanka,272,7,225,7,away,"Feb 10, 2003",Day,ICC World Cup,New Zealand,field first,South Africa
Australia,Pakistan,Australia,310,8,228,8,away,"Feb 11, 2003",Day,ICC World Cup,Pakistan,field first,South Africa
Canada,Bangladesh,Canada,180,10,120,10,away,"Feb 11, 2003",Day and night,ICC World Cup,Canada,bat first,South Africa
Kenya,South Africa,South Africa,142,0,140,0,home,"Feb 12, 2003",Day,ICC World Cup,Kenya,bat first,South Africa
India,Netherlands,India,204,10,136,10,away,"Feb 12, 2003",Day,ICC World Cup,India,bat first,South Africa
New Zealand,West Indies,New Zealand,241,7,221,7,away,"Feb 13, 2003",Day,ICC World Cup,West Indies,field first,South Africa
Bangladesh,Sri Lanka,Sri Lanka,126,0,124,0,away,"Feb 14, 2003",Day,ICC World Cup,Sri Lanka,field first,South Africa
India,Australia,Australia,128,1,125,1,away,"Feb 15, 2003",Day,ICC World Cup,India,bat first,South Africa
Canada,Kenya,Kenya,198,6,197,6,away,"Feb 15, 2003",Day and night,ICC World Cup,Canada,bat first,South Africa
Netherlands,England,England,144,4,142,4,away,"Feb 16, 2003",Day,ICC World Cup,England,field first,South Africa
Pakistan,Namibia,Pakistan,255,9,84,9,away,"Feb 16, 2003",Day,ICC World Cup,Pakistan,bat first,South Africa
South Africa,New Zealand,New Zealand,229,1,306,1,away,"Feb 16, 2003",Day,ICC World Cup,South Africa,bat first,South Africa
India,Zimbabwe,India,255,7,172,7,away,"Feb 19, 2003",Day,ICC World Cup,Zimbabwe,field first,Zimbabwe
Canada,Sri Lanka,Sri Lanka,37,1,36,1,away,"Feb 19, 2003",Day,ICC World Cup,Sri Lanka,field first,South Africa
England,Namibia,England,272,10,217,10,away,"Feb 19, 2003",Day,ICC World Cup,Namibia,field first,South Africa
Australia,Netherlands,Australia,170,2,122,2,away,"Feb 20, 2003",Day,ICC World Cup,Netherlands,field first,South Africa
Bangladesh,South Africa,South Africa,109,0,108,0,home,"Feb 22, 2003",Day,ICC World Cup,South Africa,field first,South Africa
England,Pakistan,England,246,8,134,8,away,"Feb 22, 2003",Day and night,ICC World Cup,England,bat first,South Africa
Canada,West Indies,West Indies,206,3,202,3,away,"Feb 23, 2003",Day,ICC World Cup,West Indies,field first,South Africa
India,Namibia,India,311,2,130,2,away,"Feb 23, 2003",Day,ICC World Cup,Namibia,field first,South Africa
Kenya,Sri Lanka,Kenya,210,9,157,9,home,"Feb 24, 2003",Day,ICC World Cup,Sri Lanka,field first,Kenya
Zimbabwe,Australia,Australia,248,3,246,3,away,"Feb 24, 2003",Day,ICC World Cup,Zimbabwe,bat first,Zimbabwe
Pakistan,Netherlands,Pakistan,253,9,156,9,away,"Feb 25, 2003",Day,ICC World Cup,Netherlands,field first,South Africa
Bangladesh,New Zealand,New Zealand,199,3,198,3,away,"Feb 26, 2003",Day,ICC World Cup,Bangladesh,bat first,South Africa
India,England,India,250,9,168,9,away,"Feb 26, 2003",Day and night,ICC World Cup,India,bat first,South Africa
Australia,Namibia,Australia,301,6,45,6,away,"Feb 27, 2003",Day,ICC World Cup,Australia,bat first,South Africa
South Africa,Canada,South Africa,254,8,136,8,home,"Feb 27, 2003",Day,ICC World Cup,Canada,field first,South Africa
Zimbabwe,Netherlands,Zimbabwe,301,8,202,8,home,"Feb 28, 2003",Day,ICC World Cup,Netherlands,field first,Zimbabwe
Sri Lanka,West Indies,Sri Lanka,228,6,222,6,away,"Feb 28, 2003",Day and night,ICC World Cup,Sri Lanka,bat first,South Africa
Kenya,Bangladesh,Kenya,217,7,185,7,away,"Mar 1, 2003",Day,ICC World Cup,Kenya,bat first,South Africa
Pakistan,India,India,276,4,273,4,away,"Mar 1, 2003",Day,ICC World Cup,Pakistan,bat first,South Africa
England,Australia,Australia,208,8,204,8,away,"Mar 2, 2003",Day,ICC World Cup,England,bat first,South Africa
Canada,New Zealand,New Zealand,197,5,196,5,away,"Mar 3, 2003",Day,ICC World Cup,New Zealand,field first,South Africa
Netherlands,Namibia,Netherlands,314,4,250,4,away,"Mar 3, 2003",Day,ICC World Cup,Netherlands,bat first,South Africa
West Indies,Kenya,West Indies,246,7,104,7,away,"Mar 4, 2003",Day,ICC World Cup,West Indies,bat first,South Africa
Australia,Sri Lanka,Australia,319,5,223,5,away,"Mar 7, 2003",Day,ICC World Cup,Australia,bat first,South Africa
Kenya,India,India,226,4,225,4,away,"Mar 7, 2003",Day and night,ICC World Cup,Kenya,bat first,South Africa
Zimbabwe,New Zealand,New Zealand,253,4,252,4,away,"Mar 8, 2003",Day,ICC World Cup,Zimbabwe,bat first,South Africa
India,Sri Lanka,India,292,6,109,6,away,"Mar 10, 2003",Day,ICC World Cup,Sri Lanka,field first,South Africa
Australia,New Zealand,Australia,208,9,112,9,away,"Mar 11, 2003",Day,ICC World Cup,New Zealand,field first,South Africa
Zimbabwe,Kenya,Kenya,135,3,133,3,away,"Mar 12, 2003",Day,ICC World Cup,Zimbabwe,bat first,South Africa
New Zealand,India,India,150,3,146,3,away,"Mar 14, 2003",Day,ICC World Cup,India,field first,South Africa
Sri Lanka,Zimbabwe,Sri Lanka,256,5,182,5,away,"Mar 15, 2003",Day,ICC World Cup,Sri Lanka,bat first,South Africa
Kenya,Australia,Australia,178,5,174,5,away,"Mar 15, 2003",Day and night,ICC World Cup,Australia,field first,South Africa
Australia,Sri Lanka,Australia,212,7,123,7,away,"Mar 18, 2003",Day,ICC World Cup,Australia,bat first,South Africa
India,Kenya,India,270,4,179,4,away,"Mar 20, 2003",Day and night,ICC World Cup,India,bat first,South Africa
Australia,India,Australia,359,2,234,2,away,"Mar 23, 2003",Day,ICC World Cup,India,field first,South Africa
Pakistan,Zimbabwe,Pakistan,278,7,210,7,away,"Apr 3, 2003",Day and night,Cherry Blossom Sharjah Cup,Pakistan,bat first,United Arab Emirates
Sri Lanka,Pakistan,Pakistan,225,3,223,3,away,"Apr 4, 2003",Day and night,Cherry Blossom Sharjah Cup,Sri Lanka,bat first,United Arab Emirates
Kenya,Zimbabwe,Zimbabwe,230,5,225,5,away,"Apr 5, 2003",Day and night,Cherry Blossom Sharjah Cup,Kenya,bat first,United Arab Emirates
Sri Lanka,Kenya,Sri Lanka,256,5,127,5,away,"Apr 6, 2003",Day and night,Cherry Blossom Sharjah Cup,Sri Lanka,bat first,United Arab Emirates
Sri Lanka,Zimbabwe,Zimbabwe,194,6,193,6,away,"Apr 7, 2003",Day and night,Cherry Blossom Sharjah Cup,Sri Lanka,bat first,United Arab Emirates
Pakistan,Kenya,Pakistan,286,8,143,8,away,"Apr 8, 2003",Day and night,Cherry Blossom Sharjah Cup,Pakistan,bat first,United Arab Emirates
Zimbabwe,Pakistan,Pakistan,172,2,168,2,away,"Apr 10, 2003",Day and night,Cherry Blossom Sharjah Cup,Zimbabwe,bat first,United Arab Emirates
India,Bangladesh,India,276,10,76,10,away,"Apr 11, 2003",Day and night,TVS Cup (Bangladesh),India,bat first,Bangladesh
India,South Africa,India,307,4,154,4,away,"Apr 13, 2003",Day and night,TVS Cup (Bangladesh),India,bat first,Bangladesh
South Africa,Bangladesh,South Africa,294,3,211,3,away,"Apr 14, 2003",Day and night,TVS Cup (Bangladesh),South Africa,bat first,Bangladesh
Bangladesh,India,India,208,6,207,6,away,"Apr 16, 2003",Day and night,TVS Cup (Bangladesh),Bangladesh,bat first,Bangladesh
South Africa,Bangladesh,South Africa,261,5,168,5,away,"Apr 17, 2003",Day and night,TVS Cup (Bangladesh),South Africa,bat first,Bangladesh
India,South Africa,South Africa,216,5,215,5,away,"Apr 18, 2003",Day and night,TVS Cup (Bangladesh),India,bat first,Bangladesh
Pakistan,Sri Lanka,Pakistan,199,8,120,8,away,"May 10, 2003",Day,Bank Alfalah Cup,Sri Lanka,field first,Sri Lanka
Pakistan,New Zealand,New Zealand,117,3,116,3,away,"May 11, 2003",Day,Bank Alfalah Cup,New Zealand,field first,Sri Lanka
New Zealand,Sri Lanka,Sri Lanka,143,5,139,5,home,"May 13, 2003",Day,Bank Alfalah Cup,Sri Lanka,field first,Sri Lanka
Australia,West Indies,Australia,270,5,205,5,away,"May 17, 2003",Day,Australia tour of West Indies,West Indies,field first,West Indies
Sri Lanka,Pakistan,Sri Lanka,172,10,160,10,home,"May 18, 2003",Day,Bank Alfalah Cup,Pakistan,field first,Sri Lanka
West Indies,Australia,Australia,166,2,163,2,away,"May 18, 2003",Day,Australia tour of West Indies,West Indies,bat first,West Indies
New Zealand,Sri Lanka,New Zealand,156,8,147,8,away,"May 19, 2003",Day,Bank Alfalah Cup,Sri Lanka,field first,Sri Lanka
Pakistan,New Zealand,Pakistan,203,9,181,9,away,"May 20, 2003",Day,Bank Alfalah Cup,New Zealand,field first,Sri Lanka
Australia,West Indies,Australia,258,4,233,4,away,"May 21, 2003",Day,Australia tour of West Indies,West Indies,field first,West Indies
Pakistan,New Zealand,New Zealand,200,6,198,6,away,"May 23, 2003",Day,Bank Alfalah Cup,Pakistan,bat first,Sri Lanka
Australia,West Indies,Australia,286,5,219,5,away,"May 24, 2003",Day,Australia tour of West Indies,Australia,bat first,West Indies
West Indies,Australia,West Indies,290,5,251,5,home,"May 25, 2003",Day,Australia tour of West Indies,West Indies,bat first,West Indies
Australia,West Indies,West Indies,254,7,252,7,away,"May 30, 2003",Day,Australia tour of West Indies,Australia,bat first,Grenada
Australia,West Indies,West Indies,249,1,247,1,away,"Jun 1, 2003",Day,Australia tour of West Indies,Australia,bat first,Grenada
Sri Lanka,West Indies,Sri Lanka,201,10,146,10,away,"Jun 7, 2003",Day,Sri Lanka tour of West Indies,West Indies,field first,West Indies
West Indies,Sri Lanka,Sri Lanka,313,6,312,6,away,"Jun 8, 2003",Day,Sri Lanka tour of West Indies,West Indies,bat first,West Indies
Sri Lanka,West Indies,West Indies,160,4,191,4,home,"Jun 11, 2003",Day,Sri Lanka tour of West Indies,West Indies,field first,West Indies
England,Pakistan,Pakistan,208,8,204,8,away,"Jun 17, 2003",Day and night,Pakistan tour of England and Scotland,England,bat first,England
Pakistan,England,England,189,3,185,3,home,"Jun 20, 2003",Day,Pakistan tour of England and Scotland,Pakistan,bat first,England
Pakistan,England,England,231,6,229,6,home,"Jun 22, 2003",Day,Pakistan tour of England and Scotland,England,field first,England
England,Zimbabwe,Zimbabwe,195,6,191,6,away,"Jun 26, 2003",Day,NatWest Series,Zimbabwe,field first,England
South Africa,England,England,265,4,264,4,home,"Jun 28, 2003",Day,NatWest Series,South Africa,bat first,England
South Africa,Zimbabwe,South Africa,272,5,226,5,away,"Jun 29, 2003",Day,NatWest Series,Zimbabwe,field first,England
England,South Africa,South Africa,227,3,223,3,away,"Jul 3, 2003",Day and night,NatWest Series,England,bat first,England
Zimbabwe,South Africa,South Africa,175,1,174,1,away,"Jul 5, 2003",Day,NatWest Series,South Africa,field first,Wales
Zimbabwe,England,England,95,4,92,4,home,"Jul 6, 2003",Day,NatWest Series,England,field first,England
South Africa,England,England,199,6,198,6,home,"Jul 8, 2003",Day and night,NatWest Series,South Africa,bat first,England
Zimbabwe,South Africa,South Africa,174,3,173,3,away,"Jul 10, 2003",Day,NatWest Series,Zimbabwe,bat first,England
South Africa,England,England,111,3,107,3,home,"Jul 12, 2003",Day,NatWest Series,England,field first,England
Bangladesh,Australia,Australia,107,2,105,2,home,"Aug 2, 2003",Day,Bangladesh tour of Australia,Australia,field first,Australia
Bangladesh,Australia,Australia,148,1,147,1,home,"Aug 3, 2003",Day,Bangladesh tour of Australia,Bangladesh,bat first,Australia
Australia,Bangladesh,Australia,254,7,142,7,home,"Aug 6, 2003",Day,Bangladesh tour of Australia,Australia,bat first,Australia
Pakistan,Bangladesh,Pakistan,323,3,186,3,home,"Sep 9, 2003",Day,Bangladesh tour of Pakistan,Pakistan,bat first,Pakistan
Pakistan,Bangladesh,Pakistan,243,8,169,8,home,"Sep 12, 2003",Day,Bangladesh tour of Pakistan,Pakistan,bat first,Pakistan
Pakistan,Bangladesh,Pakistan,257,9,201,9,home,"Sep 15, 2003",Day and night,Bangladesh tour of Pakistan,Pakistan,bat first,Pakistan
Bangladesh,Pakistan,Pakistan,226,5,222,5,home,"Sep 18, 2003",Day and night,Bangladesh tour of Pakistan,Bangladesh,bat first,Pakistan
Pakistan,Bangladesh,Pakistan,302,5,244,5,home,"Sep 21, 2003",Day and night,Bangladesh tour of Pakistan,Pakistan,bat first,Pakistan
Pakistan,South Africa,Pakistan,277,6,269,6,home,"Oct 3, 2003",Day and night,South Africa tour of Pakistan,Pakistan,bat first,Pakistan
Pakistan,South Africa,Pakistan,267,7,225,7,home,"Oct 5, 2003",Day and night,South Africa tour of Pakistan,South Africa,field first,Pakistan
Pakistan,South Africa,South Africa,221,6,243,6,away,"Oct 7, 2003",Day,South Africa tour of Pakistan,Pakistan,bat first,Pakistan
Pakistan,South Africa,South Africa,158,4,157,4,away,"Oct 10, 2003",Day and night,South Africa tour of Pakistan,Pakistan,bat first,Pakistan
Pakistan,South Africa,South Africa,193,3,192,3,away,"Oct 12, 2003",Day and night,South Africa tour of Pakistan,Pakistan,bat first,Pakistan
India,Australia,India,283,5,246,5,home,"Oct 26, 2003",Day and night,TVS Cup (India),India,bat first,India
New Zealand,Australia,Australia,101,2,97,2,away,"Oct 29, 2003",Day,TVS Cup (India),New Zealand,bat first,India
Australia,India,Australia,286,8,209,8,away,"Nov 1, 2003",Day and night,TVS Cup (India),Australia,bat first,India
New Zealand,Australia,Australia,259,8,258,8,away,"Nov 3, 2003",Day,TVS Cup (India),Australia,field first,India
India,New Zealand,New Zealand,249,6,246,6,away,"Nov 6, 2003",Day and night,TVS Cup (India),India,bat first,India
Bangladesh,England,England,144,3,143,3,away,"Nov 7, 2003",Day,England tour of Bangladesh,Bangladesh,bat first,Bangladesh
Australia,New Zealand,Australia,225,7,181,7,away,"Nov 9, 2003",Day,TVS Cup (India),New Zealand,field first,India
Bangladesh,England,England,137,3,134,3,away,"Nov 10, 2003",Day and night,England tour of Bangladesh,Bangladesh,bat first,Bangladesh
Bangladesh,England,England,185,3,182,3,away,"Nov 12, 2003",Day and night,England tour of Bangladesh,Bangladesh,bat first,Bangladesh
Australia,India,Australia,347,2,286,2,away,"Nov 12, 2003",Day and night,TVS Cup (India),Australia,bat first,India
India,New Zealand,India,353,5,208,5,home,"Nov 15, 2003",Day and night,TVS Cup (India),India,bat first,India
England,Sri Lanka,Sri Lanka,89,0,88,0,home,"Nov 18, 2003",Day and night,England tour of Sri Lanka,England,bat first,Sri Lanka
Australia,India,Australia,235,5,198,5,away,"Nov 18, 2003",Day and night,TVS Cup (India),Australia,bat first,India
West Indies,Zimbabwe,West Indies,347,6,173,6,away,"Nov 22, 2003",Day,West Indies tour of Zimbabwe,West Indies,bat first,Zimbabwe
West Indies,Zimbabwe,Zimbabwe,128,4,125,4,home,"Nov 23, 2003",Day,West Indies tour of Zimbabwe,West Indies,bat first,Zimbabwe
Zimbabwe,West Indies,Zimbabwe,229,5,208,5,home,"Nov 26, 2003",Day,West Indies tour of Zimbabwe,West Indies,field first,Zimbabwe
West Indies,Zimbabwe,West Indies,256,3,150,3,away,"Nov 29, 2003",Day,West Indies tour of Zimbabwe,Zimbabwe,field first,Zimbabwe
New Zealand,Pakistan,Pakistan,292,7,291,7,home,"Nov 29, 2003",Day and night,New Zealand tour of Pakistan,New Zealand,bat first,Pakistan
Zimbabwe,West Indies,West Indies,197,2,196,2,away,"Nov 30, 2003",Day,West Indies tour of Zimbabwe,Zimbabwe,bat first,Zimbabwe
Pakistan,New Zealand,Pakistan,281,6,157,6,home,"Dec 1, 2003",Day and night,New Zealand tour of Pakistan,Pakistan,bat first,Pakistan
Pakistan,New Zealand,Pakistan,314,7,263,7,home,"Dec 3, 2003",Day,New Zealand tour of Pakistan,Pakistan,bat first,Pakistan
New Zealand,Pakistan,Pakistan,184,3,183,3,home,"Dec 5, 2003",Day and night,New Zealand tour of Pakistan,New Zealand,bat first,Pakistan
Pakistan,New Zealand,Pakistan,277,4,228,4,home,"Dec 7, 2003",Day and night,New Zealand tour of Pakistan,Pakistan,bat first,Pakistan
Pakistan,New Zealand,New Zealand,230,6,229,6,home,"Jan 3, 2004",Day,Pakistan tour of New Zealand,New Zealand,field first,New Zealand
New Zealand,Pakistan,Pakistan,236,4,235,4,away,"Jan 7, 2004",Day,Pakistan tour of New Zealand,Pakistan,field first,New Zealand
Australia,India,Australia,288,10,270,10,home,"Jan 9, 2004",Day and night,VB Series,Australia,bat first,Australia
Pakistan,New Zealand,New Zealand,259,3,255,3,home,"Jan 10, 2004",Day,Pakistan tour of New Zealand,New Zealand,field first,New Zealand
Australia,Zimbabwe,Australia,225,8,126,8,home,"Jan 11, 2004",Day and night,VB Series,Australia,bat first,Australia
Pakistan,New Zealand,New Zealand,127,2,126,2,home,"Jan 14, 2004",Day,Pakistan tour of New Zealand,New Zealand,field first,New Zealand
Zimbabwe,India,India,211,3,208,3,away,"Jan 14, 2004",Day,VB Series,Zimbabwe,bat first,Australia
Australia,Zimbabwe,Australia,344,7,196,7,home,"Jan 16, 2004",Day,VB Series,Australia,bat first,Australia
New Zealand,Pakistan,New Zealand,307,8,303,8,home,"Jan 17, 2004",Day and night,Pakistan tour of New Zealand,New Zealand,bat first,New Zealand
India,Australia,India,303,4,284,4,away,"Jan 18, 2004",Day and night,VB Series,India,bat first,Australia
India,Zimbabwe,India,255,6,231,6,away,"Jan 20, 2004",Day and night,VB Series,India,bat first,Australia
India,Australia,Australia,225,8,296,8,home,"Jan 22, 2004",Day and night,VB Series,India,bat first,Australia
India,Zimbabwe,India,280,7,277,7,away,"Jan 24, 2004",Day and night,VB Series,India,bat first,Australia
South Africa,West Indies,South Africa,263,4,54,4,home,"Jan 25, 2004",Day and night,West Indies tour of South Africa,South Africa,bat first,South Africa
Australia,Zimbabwe,Australia,279,7,266,7,home,"Jan 26, 2004",Day and night,VB Series,Australia,bat first,Australia
South Africa,West Indies,South Africa,179,7,163,7,home,"Jan 28, 2004",Day and night,West Indies tour of South Africa,South Africa,bat first,South Africa
India,Australia,Australia,204,5,203,5,home,"Feb 1, 2004",Day,VB Series,India,bat first,Australia
South Africa,West Indies,West Indies,300,3,297,3,away,"Feb 1, 2004",Day,West Indies tour of South Africa,South Africa,bat first,South Africa
Zimbabwe,India,India,136,6,135,6,away,"Feb 3, 2004",Day and night,VB Series,Zimbabwe,bat first,Australia
West Indies,South Africa,South Africa,310,6,304,6,home,"Feb 4, 2004",Day and night,West Indies tour of South Africa,West Indies,bat first,South Africa
India,Australia,Australia,224,3,222,3,home,"Feb 6, 2004",Day and night,VB Series,India,bat first,Australia
Australia,India,Australia,359,5,151,5,home,"Feb 8, 2004",Day and night,VB Series,Australia,bat first,Australia
New Zealand,South Africa,South Africa,226,5,225,5,away,"Feb 13, 2004",Day and night,South Africa tour of New Zealand,South Africa,field first,New Zealand
South Africa,New Zealand,New Zealand,255,5,253,5,home,"Feb 17, 2004",Day and night,South Africa tour of New Zealand,South Africa,bat first,New Zealand
New Zealand,South Africa,New Zealand,254,5,249,5,home,"Feb 20, 2004",Day and night,South Africa tour of New Zealand,South Africa,field first,New Zealand
Australia,Sri Lanka,Australia,262,6,178,6,away,"Feb 20, 2004",Day and night,Australia tour of Sri Lanka,Australia,bat first,Sri Lanka
Sri Lanka,Australia,Sri Lanka,245,10,244,10,home,"Feb 22, 2004",Day,Australia tour of Sri Lanka,Sri Lanka,bat first,Sri Lanka
South Africa,New Zealand,New Zealand,264,4,259,4,home,"Feb 25, 2004",Day,South Africa tour of New Zealand,New Zealand,field first,New Zealand
Sri Lanka,Australia,Australia,227,5,226,5,away,"Feb 25, 2004",Day and night,Australia tour of Sri Lanka,Sri Lanka,bat first,Sri Lanka
Australia,Sri Lanka,Australia,233,10,193,10,away,"Feb 27, 2004",Day and night,Australia tour of Sri Lanka,Australia,bat first,Sri Lanka
New Zealand,South Africa,New Zealand,193,8,175,8,home,"Feb 29, 2004",Day,South Africa tour of New Zealand,South Africa,field first,New Zealand
Australia,Sri Lanka,Sri Lanka,202,7,198,7,home,"Feb 29, 2004",Day,Australia tour of Sri Lanka,Australia,bat first,Sri Lanka
South Africa,New Zealand,New Zealand,190,5,186,5,home,"Mar 2, 2004",Day,South Africa tour of New Zealand,South Africa,bat first,New Zealand
Bangladesh,Zimbabwe,Bangladesh,238,7,230,7,away,"Mar 10, 2004",Day,Bangladesh tour of Zimbabwe,Zimbabwe,field first,Zimbabwe
Zimbabwe,Bangladesh,Zimbabwe,242,8,228,8,home,"Mar 12, 2004",Day,Bangladesh tour of Zimbabwe,Zimbabwe,bat first,Zimbabwe
India,Pakistan,India,349,7,344,7,away,"Mar 13, 2004",Day,India tour of Pakistan,Pakistan,field first,Pakistan
Bangladesh,Zimbabwe,Zimbabwe,185,7,183,7,home,"Mar 14, 2004",Day,Bangladesh tour of Zimbabwe,Bangladesh,bat first,Zimbabwe
Pakistan,India,Pakistan,329,6,317,6,home,"Mar 16, 2004",Day and night,India tour of Pakistan,Pakistan,bat first,Pakistan
India,Pakistan,Pakistan,247,6,244,6,home,"Mar 19, 2004",Day,India tour of Pakistan,Pakistan,field first,Pakistan
Pakistan,India,India,294,5,293,5,away,"Mar 21, 2004",Day and night,India tour of Pakistan,Pakistan,bat first,Pakistan
India,Pakistan,India,293,7,253,7,away,"Mar 24, 2004",Day and night,India tour of Pakistan,Pakistan,field first,Pakistan
West Indies,England,England,157,8,156,8,away,"Apr 18, 2004",Day,England tour of West Indies,England,field first,Guyana
Zimbabwe,Sri Lanka,Sri Lanka,144,4,211,4,away,"Apr 20, 2004",Day,Sri Lanka tour of Zimbabwe,Sri Lanka,field first,Zimbabwe
Zimbabwe,Sri Lanka,Sri Lanka,139,1,136,1,away,"Apr 22, 2004",Day,Sri Lanka tour of Zimbabwe,Sri Lanka,field first,Zimbabwe
Zimbabwe,Sri Lanka,Sri Lanka,40,1,35,1,away,"Apr 25, 2004",Day,Sri Lanka tour of Zimbabwe,Sri Lanka,field first,Zimbabwe
Sri Lanka,Zimbabwe,Sri Lanka,223,9,151,9,away,"Apr 27, 2004",Day,Sri Lanka tour of Zimbabwe,Zimbabwe,field first,Zimbabwe
Sri Lanka,Zimbabwe,Sri Lanka,246,7,221,7,away,"Apr 29, 2004",Day,Sri Lanka tour of Zimbabwe,Sri Lanka,bat first,Zimbabwe
England,West Indies,West Indies,284,5,281,5,home,"May 1, 2004",Day,England tour of West Indies,West Indies,field first,West Indies
England,West Indies,West Indies,282,6,280,6,home,"May 2, 2004",Day,England tour of West Indies,West Indies,field first,West Indies
West Indies,England,England,262,5,261,5,away,"May 5, 2004",Day,England tour of West Indies,England,field first,West Indies
Bangladesh,West Indies,West Indies,145,9,144,9,home,"May 15, 2004",Day,Bangladesh tour of West Indies,West Indies,field first,West Indies
West Indies,Bangladesh,West Indies,124,7,101,7,home,"May 16, 2004",Day,Bangladesh tour of West Indies,Bangladesh,field first,West Indies
Bangladesh,West Indies,West Indies,119,3,118,3,away,"May 19, 2004",Day,Bangladesh tour of West Indies,Bangladesh,bat first,Grenada
Zimbabwe,Australia,Australia,207,3,205,3,away,"May 25, 2004",Day,Australia tour of Zimbabwe,Zimbabwe,bat first,Zimbabwe
Australia,Zimbabwe,Australia,323,8,184,8,away,"May 27, 2004",Day,Australia tour of Zimbabwe,Zimbabwe,field first,Zimbabwe
Zimbabwe,Australia,Australia,199,2,196,2,away,"May 29, 2004",Day,Australia tour of Zimbabwe,Australia,field first,Zimbabwe
England,West Indies,West Indies,148,3,147,3,away,"Jun 27, 2004",Day,NatWest Series,West Indies,field first,England
England,New Zealand,New Zealand,103,3,101,3,away,"Jun 29, 2004",Day and night,NatWest Series,New Zealand,field first,England
West Indies,England,England,160,3,159,3,home,"Jul 1, 2004",Day and night,NatWest Series,England,field first,England
West Indies,New Zealand,New Zealand,220,5,216,5,away,"Jul 3, 2004",Day,NatWest Series,New Zealand,field first,Wales
England,New Zealand,New Zealand,241,4,237,4,away,"Jul 4, 2004",Day,NatWest Series,New Zealand,field first,England
England,West Indies,West Indies,286,3,285,3,away,"Jul 6, 2004",Day,NatWest Series,West Indies,field first,England
